protocol           , protocol_detected, master_proto, app_proto, category_name , category_id, flows , avg_detect_pkt_in_flow, var_detect_pkt_in_flow, avg_detecting_bytes, var_detecting_bytes, avg_packets_in_flow, var_packets_in_flow, avg_bytes_in_flow, var_bytes_in_flow        , avg_detecting_total_ms, var_detecting_total_ms, avg_detecting_detection_only_ms, var_detecting_detection_only_ms, avg_detecting_flow_table_ms, var_detecting_flow_table_ms, avg_detecting_other_ms, var_detecting_other_ms, avg_detecting_detection_ratio, var_detecting_detection_ratio, avg_detecting_flow_table_ratio, var_detecting_flow_table_ratio, avg_detecting_other_ratio, var_detecting_other_ratio
QUIC.GoogleServices,                 1,          188,       239, Web           ,           5,    103,               1.000000,               0.000000,         1392.000000,            0.000000,           25.718447,          932.474126,      15874.883495,          834163396.724291,               0.002673,               0.000001,                        0.001948,                        0.000000,                    0.000439,                    0.000000,               0.000285,               0.000000,                      0.728969,                      0.050207,                       0.164274,                       0.015405,                  0.106758,                  0.010111
HTTP.Microsoft365  ,                 1,            7,       219, Collaborative ,          15,     91,               4.000000,               0.000000,          560.736264,        49941.908465,           15.142857,           41.792779,       3154.285714,            2955392.599686,               0.006030,               0.000003,                        0.004991,                        0.000003,                    0.000390,                    0.000000,               0.000649,               0.000000,                      0.827699,                      0.002192,                       0.064648,                       0.003504,                  0.107653,                  0.005395
ICMP               ,                 1,            0,        81, Network       ,          14,     84,               1.000000,               0.000000,           94.000000,          735.714286,            7.988095,         1019.202239,        761.738095,            9561762.074263,               0.001903,               0.000000,                        0.001068,                        0.000000,                    0.000448,                    0.000000,               0.000387,               0.000000,                      0.561170,                      0.061140,                       0.235335,                       0.033194,                  0.203494,                  0.025234
TLS.Salesforce     ,                 1,           91,       266, Web           ,           5,     75,               4.000000,               0.000000,          485.653333,          536.199822,           26.546667,          567.501156,       7884.173333,          228048709.823289,               0.009389,               0.000001,                        0.008445,                        0.000001,                    0.000332,                    0.000000,               0.000613,               0.000000,                      0.899377,                      0.003383,                       0.035359,                       0.000954,                  0.065264,                  0.001679
TLS.WindowsUpdate  ,                 1,           91,       147, SoftwareUpdate,          19,     67,               4.000000,               0.000000,          447.626866,           41.875696,           70.194030,         9404.275785,      89182.059701,        27093419078.085991,               0.009861,               0.000001,                        0.008985,                        0.000002,                    0.000304,                    0.000000,               0.000572,               0.000000,                      0.911173,                      0.000662,                       0.030872,                       0.000961,                  0.057955,                  0.001217
HTTP.WindowsUpdate ,                 1,            7,       147, SoftwareUpdate,          19,     66,               4.000000,               0.000000,          531.530303,         9475.733930,        78194.909091, 139767499576.628113,  105673939.984848, 246949121908885632.000000,               0.006390,               0.000006,                        0.005430,                        0.000006,                    0.000333,                    0.000000,               0.000627,               0.000000,                      0.849770,                      0.000000,                       0.052148,                       0.003487,                  0.098082,                  0.005876
TLS.Alibaba        ,                 1,           91,       274, Web           ,           5,     62,               4.000000,               0.000000,          497.693548,        13965.599636,           85.967742,        33175.773153,      68355.500000,        36903563074.637100,               0.007986,               0.000001,                        0.007014,                        0.000000,                    0.000333,                    0.000000,               0.000638,               0.000000,                      0.878308,                      0.005600,                       0.041760,                       0.001135,                  0.079932,                  0.002040
HTTP.AWS_Cloudfront,                 1,            7,       464, Cloud         ,          13,     59,               4.000000,               0.000000,          697.101695,       121821.006607,           48.593220,         5853.834530,      24903.983051,         6658443135.948865,               0.005320,               0.000001,                        0.004337,                        0.000001,                    0.000291,                    0.000000,               0.000693,               0.000000,                      0.815164,                      0.006161,                       0.054622,                       0.002161,                  0.130215,                  0.006379
TLS.VK             ,                 1,           91,        22, SocialNetwork ,           6,     57,               4.000000,               0.000000,          502.771930,        17047.755002,           90.771930,        18805.053247,      73487.596491,        23116252797.082794,               0.008107,               0.000001,                        0.007122,                        0.000001,                    0.000368,                    0.000000,               0.000617,               0.000000,                      0.878512,                      0.004924,                       0.045419,                       0.001108,                  0.076069,                  0.001766
TLS                ,                 1,            0,        91, AdultContent  ,          34,     54,               4.185185,               0.150892,          547.425926,        19900.725995,           49.148148,         1763.311385,      33499.296296,         2557093325.949245,               0.008401,               0.000001,                        0.007395,                        0.000000,                    0.000335,                    0.000000,               0.000671,               0.000000,                      0.880316,                      0.005509,                       0.039862,                       0.000936,                  0.079822,                  0.001976
HTTP.Yahoo         ,                 1,            7,        70, Web           ,           5,     48,               4.000000,               0.000000,          675.520833,        15908.541233,           18.604167,           63.655816,       3753.750000,           16653406.187500,               0.006499,               0.000010,                        0.005508,                        0.000010,                    0.000343,                    0.000000,               0.000648,               0.000000,                      0.847524,                      0.000000,                       0.052826,                       0.002876,                  0.099651,                  0.008311
TLS.IHeartRadio    ,                 1,           91,       325, Music         ,          25,     48,               4.000000,               0.000000,          419.875000,          197.026042,          137.270833,       107292.947483,     148679.187500,       189040097122.235687,               0.006126,               0.000001,                        0.005152,                        0.000001,                    0.000339,                    0.000000,               0.000636,               0.000000,                      0.840993,                      0.005026,                       0.055266,                       0.002810,                  0.103741,                  0.003149
HTTP.SOAP          ,                 1,            7,       253, Collaborative ,          15,     46,               4.000000,               0.000000,          592.000000,            0.000000,           13.478261,            1.771267,       2888.304348,             160246.776938,               0.005198,               0.000002,                        0.004273,                        0.000002,                    0.000438,                    0.000000,               0.000488,               0.000000,                      0.821968,                      0.001664,                       0.084209,                       0.005439,                  0.093823,                  0.005301
TLS.Azure          ,                 1,           91,       276, Cloud         ,          13,     44,               4.000000,               0.000000,          480.613636,         5048.555269,          115.000000,        85297.090909,     109825.431818,       121909642498.654434,               0.010987,               0.000242,                        0.009997,                        0.000240,                    0.000375,                    0.000000,               0.000614,               0.000000,                      0.909939,                      0.000000,                       0.034161,                       0.002453,                  0.055900,                  0.003402
STUN               ,                 1,            0,        78, Network       ,          14,     42,               1.000000,               0.000000,           68.857143,            7.836735,           14.619048,         4332.426304,       1214.095238,           32113813.324263,               0.001739,               0.000001,                        0.001037,                        0.000000,                    0.000308,                    0.000000,               0.000393,               0.000000,                      0.596730,                      0.035131,                       0.177052,                       0.023301,                  0.226218,                  0.036310
HTTP.Yahoo         ,                 1,            7,        70, Advertisement ,         101,     40,               4.000000,               0.000000,          843.750000,       163004.437500,           13.450000,           15.747500,       2356.325000,            2376972.869375,               0.007459,               0.000001,                        0.006455,                        0.000001,                    0.000371,                    0.000000,               0.000634,               0.000000,                      0.865344,                      0.001799,                       0.049712,                       0.001404,                  0.084944,                  0.003340
TLS.Pinterest      ,                 1,           91,       183, SocialNetwork ,           6,     40,               4.000000,               0.000000,          461.725000,         2548.099375,           36.175000,          207.144375,      10185.100000,           59684322.890000,               0.008263,               0.000000,                        0.007164,                        0.000000,                    0.000431,                    0.000000,               0.000668,               0.000000,                      0.867048,                      0.006983,                       0.052139,                       0.001879,                  0.080813,                  0.002054
HTTP.Facebook      ,                 1,            7,       119, SocialNetwork ,           6,     38,               4.000000,               0.000000,          618.394737,         2198.817867,           24.394737,           85.870499,      12908.342105,          106942361.961911,               0.005471,               0.000004,                        0.004384,                        0.000004,                    0.000445,                    0.000000,               0.000642,               0.000000,                      0.801278,                      0.000000,                       0.081403,                       0.004915,                  0.117319,                  0.006351
HTTP.Twitter       ,                 1,            7,       120, SocialNetwork ,           6,     38,               4.000000,               0.000000,          743.947368,        11976.313019,           61.289474,        29273.626731,      57371.894737,        50323266933.304710,               0.005963,               0.000004,                        0.004885,                        0.000003,                    0.000502,                    0.000000,               0.000576,               0.000000,                      0.819151,                      0.007926,                       0.084224,                       0.007183,                  0.096625,                  0.003820
ICMPV6             ,                 1,            0,       102, Network       ,          14,     37,               1.000000,               0.000000,           80.378378,           92.073046,           44.621622,         1700.505478,       3737.351351,           14160646.065741,               0.002130,               0.000001,                        0.001253,                        0.000001,                    0.000471,                    0.000000,               0.000405,               0.000000,                      0.588446,                      0.033858,                       0.221352,                       0.059714,                  0.190202,                  0.043013
TLS.MS_OneDrive    ,                 1,           91,       221, Cloud         ,          13,     33,               4.000000,               0.000000,          445.000000,           31.090909,           22.000000,            8.666667,       7711.696970,             338229.180900,               0.010908,               0.000003,                        0.009731,                        0.000002,                    0.000457,                    0.000000,               0.000720,               0.000001,                      0.892088,                      0.009592,                       0.041891,                       0.001899,                  0.066021,                  0.001692
TLS.GoTo           ,                 1,           91,       293, VoIP          ,          10,     32,               4.000000,               0.000000,          512.906250,        15151.084961,          577.906250,       490080.897461,     649898.468750,       716547713006.811523,               0.009452,               0.000020,                        0.008405,                        0.000021,                    0.000411,                    0.000000,               0.000636,               0.000000,                      0.889258,                      0.000000,                       0.043432,                       0.003085,                  0.067310,                  0.003427
TLS.Cloudflare     ,                 1,           91,       220, Web           ,           5,     31,               4.000000,               0.000000,          450.612903,         3321.914672,           54.774194,         5279.916753,      38211.903226,         6766414132.474506,               0.008776,               0.000003,                        0.007684,                        0.000003,                    0.000425,                    0.000000,               0.000667,               0.000000,                      0.875576,                      0.001168,                       0.048399,                       0.002179,                  0.076026,                  0.002500
TLS.RUTUBE         ,                 1,           91,       443, Media         ,           1,     30,               4.000000,               0.000000,          763.166667,        10302.605556,          201.333333,       102088.288889,     235321.033333,       187919492895.698883,               0.008096,               0.000001,                        0.006906,                        0.000000,                    0.000473,                    0.000001,               0.000717,               0.000000,                      0.852992,                      0.020589,                       0.058447,                       0.005529,                  0.088560,                  0.001884
HTTP.AWS_S3        ,                 1,            7,       463, Cloud         ,          13,     25,               4.000000,               0.000000,          607.200000,         4128.240000,           21.720000,          169.401600,       9039.200000,          251201349.520000,               0.004871,               0.000000,                        0.003862,                        0.000000,                    0.000291,                    0.000000,               0.000717,               0.000000,                      0.792970,                      0.014751,                       0.059763,                       0.002623,                  0.147267,                  0.005123
