protocol,flow_count,detecting_detection_only_mean_ms,W_mean_us,log_W,cluster_id,cluster_center_log_W,bucket
TLS.AmazonAWS,11,0.007532181818181818,7.532181818181818,2.0191847499328985,1,1.7433702566400517,Middle
TLS.DisneyPlus,7,0.0075437142857142855,7.543714285714286,2.0207146715644164,1,1.7433702566400517,Middle
TLS.Deezer,10,0.0077015,7.7015,2.0414151150823754,1,1.7433702566400517,Middle
TLS.Salesforce,76,0.00795175,7.9517500000000005,2.0733920302282782,2,2.351690490033487,Hard
NetBIOS.SMBv23,179,0.008325804469273742,8.325804469273741,2.11935966414364,2,2.351690490033487,Hard
TLS.WindowsUpdate,67,0.008409,8.408999999999999,2.129302560850761,2,2.351690490033487,Hard
TLS.Microsoft,354,0.008888338983050848,8.888338983050849,2.1847401910172013,2,2.351690490033487,Hard
TLS.MS_OneDrive,33,0.00909678787878788,9.096787878787879,2.2079213708575955,2,2.351690490033487,Hard
IRC,18,0.013006666666666666,13.006666666666666,2.5654620465268554,2,2.351690490033487,Hard
HTTP.DisneyPlus,14,0.013470928571428573,13.470928571428573,2.600533924306751,2,2.351690490033487,Hard
HTTP.Naver,7,0.0137,13.700000000000001,2.617395832834079,2,2.351690490033487,Hard
FTP_CONTROL,441,0.014398251700680273,14.398251700680273,2.6671067895362226,2,2.351690490033487,Hard
