protocol,protocol_detected,master_proto,app_proto,category_name,category_id,flows,avg_detect_pkt_in_flow,var_detect_pkt_in_flow,avg_detecting_bytes,var_detecting_bytes,avg_packets_in_flow,var_packets_in_flow,avg_bytes_in_flow,var_bytes_in_flow,avg_detecting_total_ms,var_detecting_total_ms,avg_detecting_detection_only_ms,var_detecting_detection_only_ms,avg_detecting_flow_table_ms,var_detecting_flow_table_ms,avg_detecting_other_ms,var_detecting_other_ms,avg_detecting_detection_ratio,var_detecting_detection_ratio,avg_detecting_flow_table_ratio,var_detecting_flow_table_ratio,avg_detecting_other_ratio,var_detecting_other_ratio
HTTP.Cloudflare,1,7,220,Media,1,24,4.0,0.0,615.8333333333334,1049.0555555555554,23.25,44.770833333333336,5616.0,37803138.083333336,0.0054513750000000005,1.0173615677083334e-06,0.004383541666666667,8.22487831597222e-07,0.0004024583333333334,1.0786108159722221e-07,0.0006653750000000001,1.5107156770833335e-07,0.804928,0.004223402097083333,0.07329433333333334,0.003340088664305555,0.12177766666666667,0.0044494980393888885
Akamai,1,0,467,Database,11,24,32.0,0.0,11864.625,133905936.984375,3041.2083333333335,96737773.24826388,2877144.875,98210074391512.44,0.013568458333333333,4.914358664930554e-06,0.007064541666666667,4.547199149305555e-07,0.0020100416666666665,3.9753453993055557e-07,0.0044938750000000005,1.5586151927083335e-06,0.5262424583333333,0.0015087858075815968,0.1470749166666667,0.0012976004818263888,0.3266826666666666,0.0017968048503888895
AWS_EC2,1,0,461,Cloud,13,23,31.043478260869566,9.693761814744802,6220.695652173913,32683832.82041588,271.30434782608694,423549.08128544426,69887.69565217392,47525150868.12476,0.017738391304347824,1.5769947194706994e-05,0.008729913043478258,1.4470684948960303e-05,0.0028675217391304353,1.284050423440454e-06,0.00614095652173913,5.549485780718337e-06,0.4910640869565217,0.01738438685529679,0.16355465217391305,0.002935004766748582,0.345381347826087,0.008613912649096408
JSON,1,0,468,Network,14,23,1.0,0.0,403.4347826086956,82295.28922495272,37666.95652173913,2293849534.1285443,19440287.608695652,626640428778815.9,0.011732739130434785,7.97913633232514e-05,0.010164652173913045,6.853141744423441e-05,0.0011877391304347825,1.138376627599244e-06,0.00038034782608695655,1.0671840075614368e-07,0.8359515652173913,0.007677698255463134,0.10412856521739129,0.007138235415810964,0.05991995652173913,0.005518296834041588
TLS.Cachefly,1,91,289,Cloud,13,22,4.0,0.0,427.0,214.9090909090909,42.09090909090909,216.71900826446281,12291.227272727272,36264694.26652892,0.006740045454545454,3.1681740702479325e-07,0.005664545454545454,4.3394461157024786e-07,0.00045577272727272724,3.2172653925619835e-07,0.0006197272727272727,1.3006856198347108e-07,0.8418047727272728,0.006189554679721074,0.06623672727272728,0.006085652153198348,0.09195845454545454,0.002737141517247933
TLS.Tumblr,1,91,90,SocialNetwork,6,20,4.0,0.0,686.8,17429.46,29.75,22.8875,5257.15,5413055.1275,0.008898650000000001,2.4557062275e-06,0.00792195,2.0859737475000003e-06,0.00046035,1.2926482750000002e-07,0.00051635,8.12504275e-08,0.8907644999999998,0.0014881162330499995,0.05228625000000001,0.0016319820603875,0.056949150000000004,0.0006295008540274999
TLS.Tor,1,91,163,VPN,2,19,4.0,0.0,441.10526315789474,316.5152354570636,21.36842105263158,63.18005540166204,6563.368421052632,16502123.916897511,0.008625473684210525,1.2086709861495845e-06,0.007669368421052632,8.368022326869808e-07,0.0004106315789473684,1.2386223268698061e-07,0.0005454736842105263,9.680803878116342e-08,0.8908555263157896,0.0011630490969861493,0.046303315789473685,0.0013288764355844876,0.06284126315789473,0.0010539132676675902
BJNP,1,0,204,System,18,19,1.0,0.0,67.57894736842105,78.98060941828257,215.8421052631579,40529.08033240996,14886.947368421053,200231944.15512466,0.0016721052631578947,7.95375567867036e-07,0.0007366315789473684,3.1750475900277005e-07,0.0005631052631578947,5.026798836565097e-07,0.0003723684210526316,1.3945749584487537e-07,0.4851351578947368,0.040923638238448766,0.2766303157894737,0.07601729736863712,0.23823442105263154,0.04506799272466483
TLS.NetFlix,1,91,133,Video,26,18,4.0,0.0,438.55555555555554,5.80246913580247,36.5,548.1388888888889,19324.61111111111,738154453.3487655,0.007919111111111111,4.38805098765432e-07,0.006898833333333333,2.247822499999999e-07,0.00034805555555555555,1.081219413580247e-07,0.0006722222222222222,1.4324395061728398e-07,0.8732833888888889,0.0019238251075709885,0.04330427777777778,0.0014726876753117285,0.0834123888888889,0.0019046224276820988
HTTP.AmazonAWS,1,7,265,Cloud,13,18,4.0,0.0,585.6111111111111,7678.793209876543,27.88888888888889,40.876543209876544,2358.8888888888887,172429.987654321,0.006015888888888888,5.751011543209877e-06,0.005144111111111111,5.598462432098766e-06,0.0003992777777777777,1.169790895061728e-07,0.00047249999999999994,6.132925000000001e-08,0.8444039444444444,0.004334751026941359,0.06913805555555555,0.003176831554496914,0.08645772222222221,0.0022260515508672842
