protocol           , protocol_detected, master_proto, app_proto, category_name , category_id, flows , avg_detect_pkt_in_flow, var_detect_pkt_in_flow, avg_detecting_bytes, var_detecting_bytes, avg_packets_in_flow, var_packets_in_flow, avg_bytes_in_flow, var_bytes_in_flow        , avg_detecting_instructions, var_detecting_instructions, avg_detecting_cycles, var_detecting_cycles, avg_detecting_ipc, var_detecting_ipc, avg_detecting_llc_misses, var_detecting_llc_misses, avg_detecting_llc_refs, var_detecting_llc_refs, avg_detecting_llc_miss_ratio, var_detecting_llc_miss_ratio, avg_detecting_branch_misses, var_detecting_branch_misses, avg_detecting_branch_miss_per_kinst, var_detecting_branch_miss_per_kinst
TLS.Microsoft365   ,                 1,           91,       219, Collaborative ,          15,    244,               4.016393,               0.016125,          486.553279,         9466.222571,           37.188525,         2431.366098,      18815.344262,         2006608224.365090,              138397.463115,            50658954.863396,         44939.229508,      24432239.914539,          3.079658,          0.220690,                24.028689,               407.322947,             120.336066,           29557.591978,                     0.199680,                     0.046190,                  104.639344,                 3206.542059,                            0.756078,                            0.138779
TLS.LinkedIn       ,                 1,           91,       233, SocialNetwork ,           6,    228,               4.000000,               0.000000,          461.552632,         1822.229686,           28.618421,          259.165801,       9533.184211,          202944363.729224,              136287.925439,           128259646.025143,         43265.947368,      15039923.725300,          3.150004,          0.110005,                17.653509,               198.077312,              92.153509,            8587.963277,                     0.191566,                     0.053769,                   93.649123,                 2121.280394,                            0.687142,                            0.140672
HTTP.GoogleServices,                 1,            7,       239, Web           ,           5,    210,               3.995238,               0.004739,          611.257143,         4877.886259,           44.733333,         1635.776508,      20468.400000,         1938220675.725714,               60349.614286,            36525851.379796,         30689.561905,      85058253.827120,          1.966454,          0.528223,                31.719048,              5873.411542,             318.652381,          183715.141066,                     0.099541,                     0.031295,                  216.719048,                19168.916304,                            3.591059,                            2.279028
HTTP               ,                 1,            0,         7, ConnCheck     ,          30,    191,               4.000000,               0.000000,          548.638743,          314.450646,           37.534031,           51.892821,       3515.162304,             625596.774705,               61196.581152,              121370.829802,         32565.486911,      21330793.495902,          1.879185,          0.167399,                17.853403,               476.104164,             286.905759,          100924.378553,                     0.062227,                     0.013393,                  237.921466,                 2736.690167,                            3.887823,                            0.711914
HTTP.Google        ,                 1,            7,       126, Web           ,           5,    183,               4.000000,               0.000000,          863.284153,        43233.252590,          120.748634,      1030787.816596,     111740.448087,      1554390767245.657227,               71926.666667,           740467538.025500,         33725.311475,     289692937.165278,          2.132721,          0.638158,                40.092896,             14928.903939,             282.852459,          209412.879871,                     0.141745,                     0.029401,                  222.989071,                43328.491684,                            3.100228,                            0.247004
NetBIOS.SMBv23     ,                 1,           10,        41, System        ,          18,    179,               8.944134,               0.108611,         1095.530726,         8371.668050,           88.731844,        19457.168316,      23267.351955,         1312313265.814675,               81251.877095,            44868503.727912,         58270.865922,     195880854.563029,          1.394383,          0.289386,                32.201117,              4151.836647,             779.150838,          258431.859929,                     0.041328,                     0.006383,                  522.586592,                15621.404513,                            6.431686,                            1.311138
TLS.Yahoo          ,                 1,           91,        70, Advertisement ,         101,    179,               4.000000,               0.000000,          573.759777,        24848.640617,           21.748603,           41.707749,       6785.553073,            3884937.934334,              138044.653631,            30243646.014107,         43476.821229,      14327916.068600,          3.175132,          0.117904,                14.865922,                90.116101,              65.407821,            1057.805749,                     0.227280,                     0.041126,                  101.480447,                 1654.819450,                            0.735128,                            0.087198
DCERPC             ,                 1,            0,       370, RPC           ,          16,    165,               7.127273,               1.456529,         1101.296970,       534338.475445,           32.339394,          217.399963,       6405.890909,           27794438.751736,               61283.460606,           415079614.902993,         30997.521212,     146711766.455611,          1.977044,          0.308168,                24.127273,              2447.989862,             244.369697,           80904.014839,                     0.098733,                     0.038410,                  182.521212,                 3455.098035,                            2.978311,                            2.583306
HTTP.Microsoft     ,                 1,            7,       212, Web           ,           5,    159,               4.012579,               0.024999,          453.025157,          546.666034,           12.440252,           24.875361,       4536.811321,           45997561.310312,               68554.723270,            20873052.212729,         36622.150943,      91286426.983505,          1.871947,          0.567398,                45.144654,              5552.979075,             421.540881,          224509.883549,                     0.107094,                     0.016779,                  276.182390,                20253.344092,                            4.028641,                            3.726368
NTP                ,                 1,            0,         9, System        ,          18,    148,               1.000000,               0.000000,           90.000000,            0.000000,          114.635135,        11538.353360,      10317.162162,           93460662.216947,                7663.047297,              108955.693709,          6807.337838,       3967933.385866,          1.125704,          0.268600,                14.506757,               284.317522,             124.912162,           39347.553095,                     0.116136,                     0.029374,                   38.891892,                  216.542367,                            5.075251,                            2.893375
